name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
96,"-70.792085562525,-33.09353879715","-70.7921052642,-33.0939362355","-70.792082,-33.09393657","-70.792065861,-33.0931413588","-70.7920891249,-33.0931410243",180.97412234250766,0.0021675263622762952
97,"-70.792034364475,-33.093539533375","-70.7920540659,-33.0939369717","-70.7920308017,-33.0939373063","-70.7920146632,-33.093142095","-70.7920379271,-33.0931417605",180.9740922064894,0.0021675264388956446
98,"-70.791983166425,-33.093540269575","-70.7920028676,-33.0939377079","-70.7919796035,-33.0939380425","-70.7919634653,-33.0931428312","-70.7919867293,-33.0931424967",180.9740680745873,0.0021675264214609047
99,"-70.791931968375,-33.0935410057","-70.7919516693,-33.0939384441","-70.7919284052,-33.0939387786","-70.7919122675,-33.0931435673","-70.7919355315,-33.0931432328",180.9740377625191,0.0021675263078887812
100,"-70.79188077035,-33.0935417419","-70.7919004711,-33.0939391803","-70.7918772069,-33.0939395148","-70.7918610697,-33.0931443035","-70.7918843337,-33.093143969",180.97401061398548,0.00216753094630305
101,"-70.79182957227499,-33.093542478","-70.7918492728,-33.0939399164","-70.7918260086,-33.0939402509","-70.7918098719,-33.0931450396","-70.7918331358,-33.0931447051",180.97398346718444,0.0021675262709023083
102,"-70.79177837424999,-33.09354321415","-70.7917980745,-33.0939406526","-70.7917748104,-33.0939409871","-70.7917586741,-33.0931457757","-70.791781938,-33.0931454412",180.9739561991464,0.0021675215955357548
103,"-70.7917271762,-33.093543950249995","-70.7917468762,-33.0939413887","-70.7917236121,-33.0939417232","-70.7917074763,-33.0931465118","-70.7917307402,-33.0931461773",180.9739260361024,0.002167521576723768
104,"-70.79167597815,-33.0935446863","-70.791695678,-33.0939421248","-70.7916724138,-33.0939424592","-70.7916562784,-33.0931472478","-70.7916795424,-33.0931469134",180.97390172488787,0.002167530682951259
105,"-70.7916247801,-33.093545422325","-70.7916444797,-33.0939428608","-70.7916212155,-33.0939431953","-70.7916050806,-33.0931479838","-70.7916283446,-33.0931476494",180.97387158927907,0.002167530760202035
106,"-70.791573582025,-33.093546158375","-70.7915932814,-33.0939435969","-70.7915700172,-33.0939439313","-70.7915538828,-33.0931487199","-70.7915771467,-33.0931483854",180.97384444286482,0.0021675260847958903
107,"-70.791522383975,-33.09354689435","-70.7915420831,-33.0939443329","-70.7915188189,-33.0939446673","-70.791502685,-33.0931494558","-70.7915259489,-33.0931491214",180.97381413080723,0.00216752597126279
108,"-70.791471185925,-33.093547630349995","-70.7914908848,-33.0939450689","-70.7914676207,-33.0939454033","-70.7914514871,-33.0931501918","-70.7914747511,-33.0931498574",180.9737899989173,0.002167525952502132
