name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
127,"-70.2968445421,-25.126241047","-70.2968601371,-25.12607890789999","-70.2968635579,-25.1264028832","-70.2968289471,-25.1264031861","-70.2968255263,-25.1260792108",180.54776932254094,0.003484537325221375
128,"-70.296763141,-25.1262417593","-70.2967787361,-25.1260796203","-70.2967821567,-25.1264035956","-70.2967475459,-25.1264038984","-70.2967441253,-25.1260799231",180.54773590413706,0.003484537197440011
129,"-70.2966837749,-25.1262424538","-70.2966993701,-25.1260803147","-70.2967027905,-25.12640429","-70.2966681797,-25.1264045929","-70.2966647593,-25.1260806176",180.5477058729179,0.0034845372850938394
130,"-70.2966021796,-25.1262431677","-70.2966177749,-25.1260810287","-70.2966211951,-25.126405004","-70.2965865843,-25.1264053068","-70.2965831642,-25.1260813315",180.54766452610988,0.003484532123759015
131,"-70.2965235918,-25.12624247959999","-70.2965391872,-25.1260803405","-70.2965426072,-25.1264043158","-70.2965079964,-25.1264046186","-70.2965045765,-25.1260806433",180.54763280341115,0.00348453214338639
132,"-70.2964445383,-25.1262451057","-70.2964601338,-25.1260829666","-70.2964635536,-25.126406942","-70.2964289427,-25.1264072448","-70.296425523,-25.1260832694",180.54760088916186,0.0034845421355025304
133,"-70.2963672072,-25.1262457822","-70.2963828028,-25.1260836431","-70.2963862224,-25.1264076185","-70.2963516116,-25.1264079213","-70.2963481921,-25.1260839459",180.54756917601537,0.0034845320491952367
134,"-70.2962888586,-25.1262464675","-70.2963044543,-25.1260843285","-70.2963078737,-25.1264083039","-70.2962732629,-25.1264086066","-70.2962698436,-25.1260846312",180.5475357537499,0.003484531922223074
135,"-70.296208475,-25.1262471707","-70.2962240708,-25.1260850316","-70.29622749,-25.126409007","-70.2961928791,-25.1264093097","-70.2961894601,-25.1260853343",180.54749609007638,0.0034845369356728538
136,"-70.2961250388,-25.1262479004","-70.2961406347,-25.1260857614","-70.2961440537,-25.1264097368","-70.2961094429,-25.1264100395","-70.296106024,-25.1260860641",180.54747230008593,0.0034845318813588526
137,"-70.2960477077,-25.1262485767","-70.2960633038,-25.1260864377","-70.2960667225,-25.1264104131","-70.2960321117,-25.1264107158","-70.296028693,-25.1260867404",180.54743263449507,0.003484536895582439
138,"-70.2959693591,-25.1262492619","-70.2959849553,-25.1260871229","-70.2959883738,-25.1264110983","-70.295953763,-25.126411401","-70.2959503445,-25.1260874256",180.5474009067559,0.0034845368760405906
