name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
199,"-69.52736038875,-22.33085717505","-69.5273815762,-22.3308484593","-69.5273815755,-22.3308658922","-69.5273392013,-22.3308658908","-69.527339202,-22.3308484579",179.99787187868168,0.004358435976666333
200,"-69.527360388075,-22.3308746079","-69.5273815755,-22.3308658922","-69.5273815748,-22.330883325","-69.5273392007,-22.3308833236","-69.5273392013,-22.3308658908",179.9980239094108,0.004358430289072973
201,"-69.5273603874,-22.33089204075","-69.5273815748,-22.330883325","-69.5273815741,-22.3309007579","-69.5273392,-22.3309007565","-69.5273392007,-22.3308833236",179.9978718792138,0.004358424601479853
202,"-69.52736038672501,-22.33090947365","-69.5273815741,-22.3309007579","-69.5273815735,-22.3309181908","-69.5273391993,-22.3309181894","-69.5273392,-22.3309007565",179.99802390190092,0.004358429198923724
203,"-69.527360386075,-22.330926906549998","-69.5273815735,-22.3309181908","-69.5273815728,-22.3309356237","-69.5273391987,-22.3309356223","-69.5273391993,-22.3309181894",179.99802388280983,0.00435842865348326
204,"-69.5273603854,-22.330944339400002","-69.5273815728,-22.3309356237","-69.5273815721,-22.3309530565","-69.527339198,-22.3309530551","-69.5273391987,-22.3309356223",179.99787188714248,0.004358422965890858
205,"-69.52736038475,-22.33096177225","-69.5273815721,-22.3309530565","-69.5273815715,-22.3309704894","-69.5273391974,-22.330970488","-69.527339198,-22.3309530551",179.9981758863296,0.00435842242191282
206,"-69.5273603841,-22.33097920515","-69.5273815715,-22.3309704894","-69.5273815708,-22.3309879223","-69.5273391967,-22.3309879209","-69.5273391974,-22.330970488",179.99787189988245,0.004358421877932814
207,"-69.5273603834,-22.33099663805","-69.5273815708,-22.3309879223","-69.5273815701,-22.3310053552","-69.527339196,-22.3310053538","-69.5273391967,-22.3309879209",179.99787188080904,0.00435842133322157
208,"-69.52736038275,-22.331014070899997","-69.5273815701,-22.3310053552","-69.5273815695,-22.331022788","-69.5273391954,-22.3310227866","-69.527339196,-22.3310053538",179.99817589588878,0.0043584207877806515
209,"-69.5273603821,-22.33103150375","-69.5273815695,-22.331022788","-69.5273815688,-22.3310402209","-69.5273391947,-22.3310402195","-69.5273391954,-22.3310227866",179.99787188134155,0.00435842024233933
